metric,operator_a,operator_b,n_a,n_b,mean_a,mean_b,t_stat,p_value
x1_平均RSRP,电信,联通,86,86,-80.37391326537217,-79.51895631488775,-0.6926074614590509,0.4895011891474129
x1_平均RSRP,电信,移动,86,86,-80.37391326537217,-77.11833784234342,-2.349438231126028,0.020006009192253437
x1_平均RSRP,联通,移动,86,86,-79.51895631488775,-77.11833784234342,-1.7217089181540324,0.08701684394095521
x1_平均SINR,电信,联通,86,86,9.630021522048649,9.158614602001643,0.551873348789034,0.581760237498378
x1_平均SINR,电信,移动,86,86,9.630021522048649,11.476212322908772,-2.101588585310161,0.037065000882276225
x1_平均SINR,联通,移动,86,86,9.158614602001643,11.476212322908772,-2.6667049834981555,0.0084020411152683
x1_覆盖率1,电信,联通,86,86,0.9327005963312174,0.9337012518264931,-0.04634253545479475,0.9630928195335466
x1_覆盖率1,电信,移动,86,86,0.9327005963312174,0.9537576625144556,-1.1237746785148308,0.263127559176767
x1_覆盖率1,联通,移动,86,86,0.9337012518264931,0.9537576625144556,-1.1939603793266336,0.2344332422502864
y1_应用层下行平均吞吐率,电信,联通,86,86,7.821928833776814,7.725446628918219,0.44589018109147593,0.6562463493901995
y1_应用层下行平均吞吐率,电信,移动,86,86,7.821928833776814,6.843527833967122,4.6488550995474585,6.671693257198366e-06
y1_应用层下行平均吞吐率,联通,移动,86,86,7.725446628918219,6.843527833967122,4.053015853223686,7.68948552159637e-05
z1_应用层上行平均吞吐率,电信,联通,86,86,4.57038763392584,4.505712405915426,1.2070473617145712,0.2291646076746761
z1_应用层上行平均吞吐率,电信,移动,86,86,4.57038763392584,3.5583019007157746,7.093724147257957,2.3202420029441706e-10
z1_应用层上行平均吞吐率,联通,移动,86,86,4.505712405915426,3.5583019007157746,6.54418048671431,2.567337791970176e-09
effective_dl,电信,联通,86,86,7.814595077677165,7.718606676597246,0.4413259574905018,0.6595398264354138
effective_dl,电信,移动,86,86,7.814595077677165,6.842880707505214,4.59790236090033,8.29789386974859e-06
effective_dl,联通,移动,86,86,7.718606676597246,6.842880707505214,4.01863350106677,8.789029038653192e-05
effective_ul,电信,联通,86,86,4.558374421657496,4.505712405915426,0.9560058685816858,0.3404552249192909
effective_ul,电信,移动,86,86,4.558374421657496,3.5579306933308112,6.98284883940963,3.702538924785605e-10
effective_ul,联通,移动,86,86,4.505712405915426,3.5579306933308112,6.5455581316289075,2.551265697772409e-09
