CELL_ID,flow_mean,user_mean,flow_cv,peak_ratio,silent_ratio,flow_per_user,dist
39955,242.85989583333333,44.39773220486112,17.83974335639065,674.1193160494198,0.0,5.470097,66.93310534204984
41330,40.19012586805555,16.846293131510418,5.5677642974755015,31.999998920063653,0.96875,2.3856955,62.72339533506162
63209,27.79865993923611,15.278355577256944,5.0181490440608085,26.18181810197764,0.9618055555555556,1.8194798,62.202604096637636
45957,29.42722710503472,16.948084852430554,5.544731362134833,32.20124615910339,0.8534722222222222,1.7363157,55.25012898414124
6350,640.8884982638889,55.62720269097223,14.894814795199617,514.5105695347124,0.0,11.521134,51.052064040101776
23360,31.976877170138888,12.724020724826389,5.385164990156278,30.00000063624262,0.7298611111111111,2.513111,47.21779128120607
6351,237.07137586805555,56.40945638020833,12.47860262888427,466.72754896011617,0.0,4.2026887,45.319231514108644
57275,410.7264322916666,80.70792100694445,12.096890712257984,458.8409192427416,0.0,5.0890474,44.39665588259499
27788,47.840473090277776,13.697786458333333,3.530810479058465,21.25403778381294,0.6479166666666667,3.4925697,41.67463504381973
64590,489.6698784722222,138.14638671875,10.80097576344162,408.6453688948957,0.0,3.5445724,39.171703927883456
45970,41.30767957899305,20.27848171657986,4.558222235472619,22.9398841437455,0.5875,2.0370204,37.86680245508813
3760,76.74257269965278,30.92509765625,9.732447899938755,361.0228239406594,0.0,2.4815629,34.30426041254252
3791,146.3419704861111,38.05311414930556,9.708194999959696,335.4108156699891,0.0,3.845729,32.00427085499215
3794,102.912109375,27.44010687934028,8.638242988843864,324.2926495986032,0.0,3.7504268,30.402041269282115
19299,265.7692274305556,83.03445095486111,2.230144540042418,16.110292973276113,0.4680555555555555,3.2007103,29.941117111141114
6662,44.031787109375,20.487556966145835,4.174134946820931,21.8942004122998,0.4645833333333333,2.1491966,29.847460683340252
58197,129.31945529513888,37.52100965711806,8.28723695709956,309.5944825345624,0.0,3.4465878,28.889149273257516
45971,35.1352294921875,17.552330186631945,4.970317774564887,26.96989310969962,0.4423611111111111,2.0017416,28.569458000381374
45969,45.15512966579861,13.88470730251736,4.11533231216933,20.98528762517957,0.4409722222222222,3.2521484,28.30857859908356
3825,280.865625,85.37075737847222,8.942704363791515,297.4852019982865,0.0,3.289951,28.181585533402927
