CELL_ID,max_diff,max_time,max_flow,max_user,is_spike,SCENE,TYPE,weekday,hour
6350,328779.875,2021-03-27 10:00:00,329743.90625,67.0,True,6.0,1.0,5,10
34313,273619.5625,2021-03-12 12:00:00,276257.75,1505.0,True,2.0,1.0,4,12
39683,216781.25,2021-03-21 12:00:00,250710.734375,645.0,True,15.0,0.0,6,12
64590,199963.734375,2021-03-13 17:00:00,200101.328125,338.0,True,5.0,1.0,5,17
57275,188305.15625,2021-03-26 11:00:00,188458.09375,72.0,True,2.0,1.0,4,11
36515,177282.546875,2021-03-04 11:00:00,181016.78125,1523.0,True,2.0,1.0,3,11
35320,169374.515625,2021-03-04 10:00:00,170349.9375,236.0,True,2.0,1.0,3,10
39955,163686.15625,2021-03-13 17:00:00,163716.546875,69.0,True,2.0,1.0,5,17
38839,162198.0,2021-03-03 15:00:00,164041.15625,1163.0,True,13.0,1.0,2,15
57419,144024.359375,2021-03-13 16:00:00,149282.625,277.0,True,6.0,1.0,5,16
43865,137764.890625,2021-03-21 15:00:00,148683.5625,2185.0,True,2.0,1.0,6,15
26863,131237.828125,2021-04-09 00:00:00,140858.0625,1367.0,True,2.0,1.0,4,0
14299,127755.4453125,2021-03-20 13:00:00,129316.2265625,1394.0,True,14.0,1.0,5,13
10407,123196.1171875,2021-04-08 00:00:00,128579.2265625,1860.0,True,2.0,1.0,3,0
4885,121649.4375,2021-03-13 13:00:00,124816.578125,1063.0,True,6.0,1.0,5,13
40511,119999.03125,2021-03-23 12:00:00,120921.3125,882.0,True,6.0,1.0,1,12
53496,117905.1875,2021-03-30 12:00:00,122720.7890625,1160.0,True,5.0,1.0,1,12
6351,110538.765625,2021-03-25 10:00:00,110647.7421875,113.0,True,5.0,1.0,3,10
63533,109004.0625,2021-03-28 12:00:00,109350.65625,103.0,True,6.0,1.0,6,12
45740,101601.3359375,2021-03-13 10:00:00,101862.796875,90.0,True,6.0,1.0,5,10
